t,y1,y2
0,0,0
0.001,1.5e-06,3.125e-08
0.002,5.996e-06,1.30976e-07
0.003,1.3484e-05,3.05123e-07
0.004,2.396e-05,5.59614e-07
0.005,3.742e-05,9.00343e-07
0.006,5.38601e-05,1.33318e-06
0.007,7.32762e-05,1.86397e-06
0.008,9.56643e-05,2.49854e-06
0.009,0.000121021,3.24268e-06
0.01,0.000149341,4.10216e-06
0.011,0.000180621,5.08272e-06
0.012,0.000214858,6.19009e-06
0.013,0.000252046,7.42997e-06
0.014,0.000292183,8.80802e-06
0.015,0.000335264,1.03299e-05
0.016,0.000381285,1.20012e-05
0.017,0.000430243,1.38276e-05
0.018,0.000482133,1.58146e-05
0.019,0.000536951,1.79678e-05
0.02,0.000594693,2.02926e-05
0.021,0.000655356,2.27947e-05
0.022,0.000718935,2.54794e-05
0.023,0.000785427,2.83523e-05
0.024,0.000854828,3.14188e-05
0.025,0.000927132,3.46842e-05
0.026,0.00100234,3.8154e-05
0.027,0.00108044,4.18335e-05
0.028,0.00116144,4.5728e-05
0.029,0.00124532,4.9843e-05
0.03,0.00133209,5.41835e-05
0.031,0.00142174,5.87551e-05
0.032,0.00151426,6.35628e-05
0.033,0.00160966,6.86119e-05
0.034,0.00170793,7.39075e-05
0.035,0.00180907,7.9455e-05
0.036,0.00191306,8.52594e-05
0.037,0.00201991,9.13258e-05
0.038,0.00212962,9.76594e-05
0.039,0.00224217,0.000104265
0.04,0.00235757,0.000111148
0.041,0.00247582,0.000118314
0.042,0.0025969,0.000125767
0.043,0.00272081,0.000133512
0.044,0.00284755,0.000141554
0.045,0.00297712,0.000149899
0.046,0.00310951,0.000158551
0.047,0.00324472,0.000167516
0.048,0.00338275,0.000176797
0.049,0.00352358,0.0001864
0.05,0.00366722,0.000196329
0.051,0.00381367,0.000206591
0.052,0.00396291,0.000217188
0.053,0.00411494,0.000228127
0.054,0.00426977,0.000239412
0.055,0.00442739,0.000251047
0.056,0.00458778,0.000263037
0.057,0.00475096,0.000275388
0.058,0.00491691,0.000288103
0.059,0.00508563,0.000301188
0.06,0.00525713,0.000314646
0.061,0.00543138,0.000328483
0.062,0.00560839,0.000342703
0.063,0.00578816,0.000357311
0.064,0.00597069,0.000372311
0.065,0.00615596,0.000387708
0.066,0.00634397,0.000403506
0.067,0.00653472,0.00041971
0.068,0.00672822,0.000436324
0.069,0.00692444,0.000453353
0.07,0.00712339,0.000470801
0.071,0.00732507,0.000488672
0.072,0.00752947,0.000506971
0.073,0.00773659,0.000525703
0.074,0.00794642,0.000544871
0.075,0.00815895,0.00056448
0.076,0.0083742,0.000584534
0.077,0.00859215,0.000605037
0.078,0.00881279,0.000625995
0.079,0.00903613,0.00064741
0.08,0.00926216,0.000669287
0.081,0.00949087,0.000691631
0.082,0.00972227,0.000714446
0.083,0.00995635,0.000737735
0.084,0.0101931,0.000761503
0.085,0.0104325,0.000785754
0.086,0.0106746,0.000810492
0.087,0.0109194,0.000835722
0.088,0.0111668,0.000861447
0.089,0.0114169,0.000887671
0.09,0.0116696,0.000914398
0.091,0.0119249,0.000941633
0.092,0.012183,0.000969379
0.093,0.0124436,0.00099764
0.094,0.0127069,0.00102642
0.095,0.0129728,0.00105572
0.096,0.0132414,0.00108556
0.097,0.0135126,0.00111592
0.098,0.0137864,0.00114681
0.099,0.0140628,0.00117825
0.1,0.0143418,0.00121023
0.101,0.0146235,0.00124275
0.102,0.0149077,0.00127583
0.103,0.0151946,0.00130946
0.104,0.015484,0.00134364
0.105,0.015776,0.00137839
0.106,0.0160707,0.00141371
0.107,0.0163679,0.00144959
0.108,0.0166677,0.00148604
0.109,0.0169701,0.00152307
0.11,0.0172751,0.00156069
0.111,0.0175826,0.00159888
0.112,0.0178927,0.00163766
0.113,0.0182054,0.00167704
0.114,0.0185206,0.00171701
0.115,0.0188384,0.00175757
0.116,0.0191587,0.00179874
0.117,0.0194816,0.00184051
0.118,0.0198071,0.00188289
0.119,0.020135,0.00192589
0.12,0.0204656,0.0019695
0.121,0.0207986,0.00201372
0.122,0.0211342,0.00205857
0.123,0.0214723,0.00210405
0.124,0.0218129,0.00215016
0.125,0.0221561,0.0021969
0.126,0.0225018,0.00224427
0.127,0.0228499,0.00229229
0.128,0.0232006,0.00234095
0.129,0.0235538,0.00239025
0.13,0.0239095,0.0024402
0.131,0.0242677,0.00249081
0.132,0.0246284,0.00254207
0.133,0.0249916,0.002594
0.134,0.0253572,0.00264658
0.135,0.0257254,0.00269983
0.136,0.026096,0.00275375
0.137,0.0264691,0.00280834
0.138,0.0268447,0.00286361
0.139,0.0272227,0.00291956
0.14,0.0276032,0.00297619
0.141,0.0279862,0.0030335
0.142,0.0283716,0.0030915
0.143,0.0287594,0.0031502
0.144,0.0291498,0.00320958
0.145,0.0295425,0.00326967
0.146,0.0299377,0.00333045
0.147,0.0303354,0.00339194
0.148,0.0307354,0.00345414
0.149,0.0311379,0.00351704
0.15,0.0315429,0.00358066
0.151,0.0319502,0.00364499
0.152,0.03236,0.00371004
0.153,0.0327722,0.00377582
0.154,0.0331868,0.00384231
0.155,0.0336038,0.00390954
0.156,0.0340232,0.00397749
0.157,0.0344451,0.00404618
0.158,0.0348693,0.0041156
0.159,0.0352959,0.00418577
0.16,0.0357249,0.00425667
0.161,0.0361563,0.00432832
0.162,0.03659,0.00440072
0.163,0.0370262,0.00447386
0.164,0.0374647,0.00454776
0.165,0.0379056,0.00462242
0.166,0.0383488,0.00469783
0.167,0.0387945,0.004774
0.168,0.0392424,0.00485094
0.169,0.0396928,0.00492865
0.17,0.0401455,0.00500712
0.171,0.0406005,0.00508637
0.172,0.0410579,0.00516639
0.173,0.0415177,0.00524718
0.174,0.0419797,0.00532876
0.175,0.0424441,0.00541112
0.176,0.0429109,0.00549427
0.177,0.0433799,0.0055782
0.178,0.0438513,0.00566293
0.179,0.044325,0.00574844
0.18,0.0448011,0.00583476
0.181,0.0452794,0.00592187
0.182,0.0457601,0.00600978
0.183,0.046243,0.00609849
0.184,0.0467283,0.00618801
0.185,0.0472158,0.00627834
0.186,0.0477057,0.00636948
0.187,0.0481978,0.00646143
0.188,0.0486923,0.00655419
0.189,0.049189,0.00664778
0.19,0.049688,0.00674218
0.191,0.0501893,0.00683741
0.192,0.0506928,0.00693346
0.193,0.0511986,0.00703034
0.194,0.0517067,0.00712805
0.195,0.0522171,0.00722659
0.196,0.0527297,0.00732597
0.197,0.0532445,0.00742618
0.198,0.0537616,0.00752723
0.199,0.054281,0.00762913
0.2,0.0548026,0.00773186
0.201,0.0553265,0.00783545
0.202,0.0558525,0.00793988
0.203,0.0563809,0.00804516
0.204,0.0569114,0.0081513
0.205,0.0574442,0.00825829
0.206,0.0579792,0.00836613
0.207,0.0585164,0.00847484
0.208,0.0590558,0.00858441
0.209,0.0595975,0.00869484
0.21,0.0601414,0.00880614
0.211,0.0606874,0.0089183
0.212,0.0612357,0.00903134
0.213,0.0617862,0.00914524
0.214,0.0623388,0.00926003
0.215,0.0628937,0.00937568
0.216,0.0634507,0.00949222
0.217,0.0640099,0.00960964
0.218,0.0645713,0.00972794
0.219,0.0651349,0.00984712
0.22,0.0657007,0.0099672
0.221,0.0662686,0.0100882
0.222,0.0668387,0.01021
0.223,0.0674109,0.0103328
0.224,0.0679853,0.0104564
0.225,0.0685619,0.0105809
0.226,0.0691406,0.0107064
0.227,0.0697215,0.0108327
0.228,0.0703045,0.0109599
0.229,0.0708897,0.0110881
0.23,0.071477,0.0112171
0.231,0.0720664,0.0113471
0.232,0.0726579,0.0114779
0.233,0.0732516,0.0116097
0.234,0.0738474,0.0117424
0.235,0.0744454,0.011876
0.236,0.0750454,0.0120106
0.237,0.0756476,0.012146
0.238,0.0762519,0.0122824
0.239,0.0768582,0.0124197
0.24,0.0774667,0.0125579
0.241,0.0780773,0.012697
0.242,0.07869,0.0128371
0.243,0.0793048,0.0129781
0.244,0.0799216,0.01312
0.245,0.0805406,0.0132629
0.246,0.0811616,0.0134067
0.247,0.0817847,0.0135514
0.248,0.0824099,0.0136971
0.249,0.0830371,0.0138437
0.25,0.0836665,0.0139913
0.251,0.0842978,0.0141398
0.252,0.0849313,0.0142892
0.253,0.0855668,0.0144396
0.254,0.0862044,0.014591
0.255,0.086844,0.0147433
0.256,0.0874856,0.0148965
0.257,0.0881293,0.0150507
0.258,0.0887751,0.0152059
0.259,0.0894229,0.015362
0.26,0.0900727,0.0155191
0.261,0.0907245,0.0156771
0.262,0.0913784,0.0158361
0.263,0.0920343,0.015996
0.264,0.0926922,0.016157
0.265,0.0933521,0.0163189
0.266,0.0940141,0.0164817
0.267,0.094678,0.0166455
0.268,0.095344,0.0168103
0.269,0.0960119,0.0169761
0.27,0.0966819,0.0171428
0.271,0.0973539,0.0173106
0.272,0.0980278,0.0174793
0.273,0.0987037,0.0176489
0.274,0.0993817,0.0178196
0.275,0.100062,0.0179912
0.276,0.100743,0.0181638
0.277,0.101427,0.0183374
0.278,0.102113,0.018512
0.279,0.102801,0.0186876
0.28,0.103491,0.0188641
0.281,0.104182,0.0190417
0.282,0.104876,0.0192202
0.283,0.105572,0.0193998
0.284,0.106269,0.0195803
0.285,0.106969,0.0197618
0.286,0.10767,0.0199443
0.287,0.108374,0.0201278
0.288,0.109079,0.0203123
0.289,0.109786,0.0204978
0.29,0.110496,0.0206844
0.291,0.111207,0.0208719
0.292,0.11192,0.0210604
0.293,0.112635,0.0212499
0.294,0.113352,0.0214404
0.295,0.114071,0.021632
0.296,0.114791,0.0218245
0.297,0.115514,0.0220181
0.298,0.116239,0.0222126
0.299,0.116965,0.0224082
0.3,0.117693,0.0226048
0.301,0.118424,0.0228024
0.302,0.119156,0.023001
0.303,0.11989,0.0232007
0.304,0.120626,0.0234013
0.305,0.121363,0.023603
0.306,0.122103,0.0238057
0.307,0.122845,0.0240094
0.308,0.123588,0.0242142
0.309,0.124333,0.0244199
0.31,0.125081,0.0246267
0.311,0.12583,0.0248345
0.312,0.12658,0.0250434
0.313,0.127333,0.0252532
0.314,0.128088,0.0254641
0.315,0.128844,0.025676
0.316,0.129602,0.025889
0.317,0.130362,0.026103
0.318,0.131124,0.026318
0.319,0.131888,0.0265341
0.32,0.132654,0.0267512
0.321,0.133421,0.0269693
0.322,0.13419,0.0271885
0.323,0.134961,0.0274087
0.324,0.135734,0.0276299
0.325,0.136509,0.0278522
0.326,0.137285,0.0280755
0.327,0.138064,0.0282999
0.328,0.138844,0.0285253
0.329,0.139626,0.0287518
0.33,0.140409,0.0289793
0.331,0.141195,0.0292078
0.332,0.141982,0.0294374
0.333,0.142771,0.029668
0.334,0.143562,0.0298997
0.335,0.144355,0.0301325
0.336,0.145149,0.0303662
0.337,0.145946,0.0306011
0.338,0.146743,0.030837
0.339,0.147543,0.0310739
0.34,0.148345,0.0313119
0.341,0.149148,0.031551
0.342,0.149953,0.0317911
0.343,0.15076,0.0320322
0.344,0.151568,0.0322744
0.345,0.152379,0.0325177
0.346,0.153191,0.0327621
0.347,0.154004,0.0330074
0.348,0.15482,0.0332539
0.349,0.155637,0.0335014
0.35,0.156456,0.03375
0.351,0.157277,0.0339996
0.352,0.158099,0.0342503
0.353,0.158923,0.0345021
0.354,0.159749,0.0347549
0.355,0.160577,0.0350088
0.356,0.161406,0.0352638
0.357,0.162237,0.0355198
0.358,0.16307,0.0357769
0.359,0.163904,0.0360351
0.36,0.16474,0.0362943
0.361,0.165578,0.0365546
0.362,0.166418,0.036816
0.363,0.167259,0.0370784
0.364,0.168102,0.0373419
0.365,0.168946,0.0376065
0.366,0.169792,0.0378722
0.367,0.17064,0.0381389
0.368,0.17149,0.0384067
0.369,0.172341,0.0386756
0.37,0.173194,0.0389456
0.371,0.174049,0.0392166
0.372,0.174905,0.0394887
0.373,0.175763,0.0397619
0.374,0.176622,0.0400362
0.375,0.177483,0.0403115
0.376,0.178346,0.0405879
0.377,0.179211,0.0408654
0.378,0.180077,0.041144
0.379,0.180945,0.0414237
0.38,0.181814,0.0417044
0.381,0.182685,0.0419863
0.382,0.183558,0.0422692
0.383,0.184432,0.0425531
0.384,0.185308,0.0428382
0.385,0.186186,0.0431244
0.386,0.187065,0.0434116
0.387,0.187946,0.0437
0.388,0.188828,0.0439894
0.389,0.189712,0.0442799
0.39,0.190598,0.0445714
0.391,0.191485,0.0448641
0.392,0.192373,0.0451579
0.393,0.193264,0.0454527
0.394,0.194156,0.0457487
0.395,0.195049,0.0460457
0.396,0.195945,0.0463438
0.397,0.196841,0.046643
0.398,0.19774,0.0469433
0.399,0.198639,0.0472447
0.4,0.199541,0.0475471
0.401,0.200444,0.0478507
0.402,0.201348,0.0481554
0.403,0.202255,0.0484611
0.404,0.203162,0.0487679
0.405,0.204072,0.0490759
0.406,0.204982,0.0493849
0.407,0.205895,0.049695
0.408,0.206809,0.0500062
0.409,0.207724,0.0503185
0.41,0.208641,0.0506319
0.411,0.20956,0.0509464
0.412,0.21048,0.051262
0.413,0.211401,0.0515787
0.414,0.212324,0.0518965
0.415,0.213249,0.0522154
0.416,0.214175,0.0525353
0.417,0.215103,0.0528564
0.418,0.216032,0.0531786
0.419,0.216963,0.0535019
0.42,0.217895,0.0538262
0.421,0.218829,0.0541517
0.422,0.219764,0.0544782
0.423,0.220701,0.0548059
0.424,0.221639,0.0551347
0.425,0.222579,0.0554645
0.426,0.22352,0.0557955
0.427,0.224463,0.0561275
0.428,0.225407,0.0564607
0.429,0.226352,0.056795
0.43,0.2273,0.0571303
0.431,0.228248,0.0574668
0.432,0.229198,0.0578043
0.433,0.23015,0.058143
0.434,0.231103,0.0584828
0.435,0.232057,0.0588236
0.436,0.233013,0.0591656
0.437,0.233971,0.0595086
0.438,0.23493,0.0598528
0.439,0.23589,0.0601981
0.44,0.236852,0.0605445
0.441,0.237815,0.0608919
0.442,0.23878,0.0612405
0.443,0.239746,0.0615902
0.444,0.240713,0.061941
0.445,0.241682,0.0622929
0.446,0.242652,0.0626459
0.447,0.243624,0.063
0.448,0.244598,0.0633552
0.449,0.245572,0.0637115
0.45,0.246548,0.0640689
0.451,0.247526,0.0644274
0.452,0.248505,0.064787
0.453,0.249485,0.0651477
0.454,0.250467,0.0655096
0.455,0.25145,0.0658725
0.456,0.252434,0.0662365
0.457,0.25342,0.0666017
0.458,0.254407,0.0669679
0.459,0.255396,0.0673353
0.46,0.256386,0.0677037
0.461,0.257378,0.0680733
0.462,0.258371,0.0684439
0.463,0.259365,0.0688157
0.464,0.26036,0.0691886
0.465,0.261357,0.0695626
0.466,0.262356,0.0699376
0.467,0.263355,0.0703138
0.468,0.264356,0.0706911
0.469,0.265359,0.0710695
0.47,0.266363,0.071449
0.471,0.267368,0.0718297
0.472,0.268374,0.0722114
0.473,0.269382,0.0725942
0.474,0.270391,0.0729781
0.475,0.271402,0.0733632
0.476,0.272414,0.0737493
0.477,0.273427,0.0741366
0.478,0.274441,0.0745249
0.479,0.275457,0.0749144
0.48,0.276474,0.0753049
0.481,0.277493,0.0756966
0.482,0.278513,0.0760894
0.483,0.279534,0.0764833
0.484,0.280556,0.0768783
0.485,0.28158,0.0772744
0.486,0.282605,0.0776715
0.487,0.283632,0.0780699
0.488,0.284659,0.0784693
0.489,0.285688,0.0788698
0.49,0.286719,0.0792714
0.491,0.28775,0.0796741
0.492,0.288783,0.0800779
0.493,0.289817,0.0804829
0.494,0.290853,0.0808889
0.495,0.29189,0.0812961
0.496,0.292928,0.0817043
0.497,0.293967,0.0821137
0.498,0.295008,0.0825241
0.499,0.296049,0.0829357
0.5,0.297093,0.0833483
0.501,0.298137,0.0837621
0.502,0.299183,0.084177
0.503,0.300229,0.084593
0.504,0.301278,0.0850101
0.505,0.302327,0.0854282
0.506,0.303378,0.0858475
0.507,0.30443,0.0862679
0.508,0.305483,0.0866894
0.509,0.306537,0.087112
0.51,0.307593,0.0875357
0.511,0.30865,0.0879605
0.512,0.309708,0.0883864
0.513,0.310767,0.0888134
0.514,0.311828,0.0892416
0.515,0.31289,0.0896708
0.516,0.313953,0.0901011
0.517,0.315017,0.0905325
0.518,0.316082,0.090965
0.519,0.317149,0.0913986
0.52,0.318217,0.0918334
0.521,0.319286,0.0922692
0.522,0.320356,0.0927061
0.523,0.321428,0.0931441
0.524,0.3225,0.0935833
0.525,0.323574,0.0940235
0.526,0.324649,0.0944648
0.527,0.325726,0.0949073
0.528,0.326803,0.0953508
0.529,0.327882,0.0957954
0.53,0.328962,0.0962411
0.531,0.330043,0.096688
0.532,0.331125,0.0971359
0.533,0.332208,0.0975849
0.534,0.333293,0.098035
0.535,0.334378,0.0984862
0.536,0.335465,0.0989386
0.537,0.336553,0.099392
0.538,0.337643,0.0998465
0.539,0.338733,0.100302
0.54,0.339824,0.100759
0.541,0.340917,0.101217
0.542,0.342011,0.101675
0.543,0.343106,0.102135
0.544,0.344202,0.102597
0.545,0.345299,0.103059
0.546,0.346397,0.103522
0.547,0.347497,0.103986
0.548,0.348598,0.104452
0.549,0.349699,0.104918
0.55,0.350802,0.105386
0.551,0.351906,0.105855
0.552,0.353011,0.106325
0.553,0.354118,0.106796
0.554,0.355225,0.107268
0.555,0.356333,0.107741
0.556,0.357443,0.108215
0.557,0.358554,0.10869
0.558,0.359665,0.109167
0.559,0.360778,0.109644
0.56,0.361892,0.110123
0.561,0.363007,0.110602
0.562,0.364124,0.111083
0.563,0.365241,0.111565
0.564,0.366359,0.112048
0.565,0.367479,0.112532
0.566,0.368599,0.113017
0.567,0.369721,0.113503
0.568,0.370843,0.113991
0.569,0.371967,0.114479
0.57,0.373092,0.114968
0.571,0.374218,0.115459
0.572,0.375345,0.115951
0.573,0.376473,0.116443
0.574,0.377602,0.116937
0.575,0.378732,0.117432
0.576,0.379863,0.117928
0.577,0.380995,0.118425
